segmento_id,punto_id,nome_linea,x_studs,z_studs
0,0,Galleria San Martino,152014.31,109986.4
0,1,Galleria San Martino,152095.0,109993.95
0,2,Galleria San Martino,152177.7,110007.96
0,3,Galleria San Martino,152264.16,110032.23
0,4,Galleria San Martino,152342.86,110062.92
0,5,Galleria San Martino,152413.84,110097.26
0,6,Galleria San Martino,152481.69,110138.87
0,7,Galleria San Martino,152542.66,110181.4
0,8,Galleria San Martino,152589.89,110219.73
0,9,Galleria San Martino,152905.4,110503.9
0,10,Galleria San Martino,152952.84,110544.83
0,11,Galleria San Martino,153006.45,110588.93
0,12,Galleria San Martino,153061.2,110629.47
0,13,Galleria San Martino,153115.66,110666.38
0,14,Galleria San Martino,153417.54,110853.76
0,15,Galleria San Martino,153477.04,110891.18
0,16,Galleria San Martino,153539.11,110932.69
1,0,Ferrovia Genova-Pisa,154817.22,112222.2
1,1,Ferrovia Genova-Pisa,154853.63,112253.87
2,0,Via Bastioni,143148.03,108996.84
2,1,Via Bastioni,143112.0,108980.08
2,2,Via Bastioni,143092.42,108970.9
2,3,Via Bastioni,143066.49,108958.07
2,4,Via Bastioni,143040.56,108944.34
2,5,Via Bastioni,143014.11,108929.67
2,6,Via Bastioni,142975.71,108906.84
2,7,Via Bastioni,142956.1,108894.76
2,8,Via Bastioni,142934.0,108879.33
2,9,Via Bastioni,142901.03,108856.63
2,10,Via Bastioni,142873.76,108835.93
2,11,Via Bastioni,142841.38,108809.77
3,0,Ferrovia Torino-Genova,147291.29,87820.17
3,1,Ferrovia Torino-Genova,147327.39,87795.38
3,2,Ferrovia Torino-Genova,147368.59,87771.73
3,3,Ferrovia Torino-Genova,147405.96,87754.82
3,4,Ferrovia Torino-Genova,147469.19,87727.76
3,5,Ferrovia Torino-Genova,147559.48,87692.57
3,6,Ferrovia Torino-Genova,147616.37,87669.88
3,7,Ferrovia Torino-Genova,147666.43,87649.89
3,8,Ferrovia Torino-Genova,147741.6,87618.18
3,9,Ferrovia Torino-Genova,147764.66,87606.58
3,10,Ferrovia Torino-Genova,147790.8,87592.34
3,11,Ferrovia Torino-Genova,147824.79,87572.41
4,0,Ferrovia Torino-Genova,143134.02,105044.82
4,1,Ferrovia Torino-Genova,143143.72,105096.67
4,2,Ferrovia Torino-Genova,143162.11,105174.62
4,3,Ferrovia Torino-Genova,143177.43,105239.58
5,0,Ferrovia Torino-Genova,147244.52,87857.95
5,1,Ferrovia Torino-Genova,147266.87,87838.86
5,2,Ferrovia Torino-Genova,147291.29,87820.17
6,0,Galleria Calzolai,145887.24,90868.23
6,1,Galleria Calzolai,145896.43,90567.75
7,0,Ferrovia Torino-Genova,148576.57,87212.71
7,1,Ferrovia Torino-Genova,148615.26,87153.59
7,2,Ferrovia Torino-Genova,148649.08,87085.22
